序号,企业名称,省份,行业,营收(万元)
187,环嘉集团有限公司,辽宁省,批发业,3838626
188,东旭集团有限公司,河北省,计算机、通信和其他电子设备制造业,3835432
189,中基宁波集团股份有限公司,浙江省,商务服务业,3798145
190,晶龙实业集团有限公司,河北省,其他制造业,3788441
191,威高集团有限公司,山东省,医药制造业,3781624
192,均和（厦门）控股有限公司,福建省,综合,3770806
193,江苏阳光集团有限公司,江苏省,纺织服装、服饰业,3738814
194,步步高集团,湖南省,零售业,3709412
195,天元建设集团有限公司,山东省,土木工程建筑业,3706550
196,东营方圆有色金属有限公司,山东省,有色金属冶炼和压延加工业,3699621
197,大汉控股集团有限公司,湖南省,商务服务业,3690237
198,郑州宇通集团有限公司,河南省,汽车制造业,3563402
199,研祥高科技控股集团有限公司,广东省,计算机、通信和其他电子设备制造业,3560817
200,江苏扬子江船业集团,江苏省,铁路、船舶、航空航天和其他运输设备制造业,3553722
201,双良集团有限公司,江苏省,金属制品、机械和设备修理业,3518421
202,华仪集团有限公司,浙江省,电气机械和器材制造业,3510126
203,华芳集团有限公司,江苏省,纺织业,3503459
204,卧龙控股集团有限公司,浙江省,电气机械和器材制造业,3475874
205,维维集团股份有限公司,江苏省,食品制造业,3471726
206,通州建总集团有限公司,江苏省,房屋建筑业,3461256
207,富通集团有限公司,浙江省,计算机、通信和其他电子设备制造业,3453862
208,武安市明芳钢铁有限公司,河北省,黑色金属冶炼和压延加工业,3428608
209,浙江宝业建设集团有限公司,浙江省,房屋建筑业,3423621
210,浙江前程投资股份有限公司,浙江省,批发业,3407529
211,法尔胜泓昇集团有限公司,江苏省,金属制品业,3403315
212,浙江富冶集团有限公司,浙江省,有色金属冶炼和压延加工业,3396477
213,远东控股集团有限公司,江苏省,综合,3389258
214,天狮集团有限公司,天津市,食品制造业,3387737
215,河北新金钢铁有限公司,河北省,黑色金属冶炼和压延加工业,3386835
216,宁波富邦控股集团有限公司,浙江省,综合,3380633
217,欧菲科技股份有限公司,广东省,计算机、通信和其他电子设备制造业,3379103
218,富海集团有限公司,山东省,石油加工、炼焦和核燃料加工业,3337975
219,红狮控股集团有限公司,浙江省,非金属矿物制品业,3330775
220,龙元建设集团股份有限公司,浙江省,房屋建筑业,3306624
221,浙江昆仑控股集团有限公司,浙江省,综合,3301926
222,山东博汇集团有限公司,山东省,化学原料和化学制品制造业,3300949
223,石横特钢集团有限公司,山东省,黑色金属冶炼和压延加工业,3300133
224,龙信建设集团有限公司,江苏省,房屋建筑业,3285745
225,金龙精密铜管集团股份有限公司,重庆市,有色金属冶炼和压延加工业,3275489
226,绿地城市建设发展集团有限公司,上海市,房屋建筑业,3260519
227,广东海大集团股份有限公司,广东省,农副食品加工业,3255663
228,山东清源集团有限公司,山东省,石油加工、炼焦和核燃料加工业,3253537
229,精功集团有限公司,浙江省,综合,3241386
230,波司登股份有限公司,江苏省,纺织服装、服饰业,3240801
231,华峰集团有限公司,浙江省,化学原料和化学制品制造业,3226386
232,龙光集团,广东省,房地产业,3218575
233,山东泰山钢铁集团有限公司,山东省,黑色金属冶炼和压延加工业,3205069
234,北京运通国融投资集团有限公司,北京市,零售业,3184520
235,荣民控股集团有限公司,陕西省,综合,3182683
236,万通海欣控股股份有限公司,山东省,石油加工、炼焦和核燃料加工业,3162744
237,乌海银行股份有限公司,内蒙古自治区,货币金融服务,3155338
238,岚桥集团有限公司,山东省,综合,3132545
239,河北新武安钢铁集团文安钢铁有限公司,河北省,黑色金属冶炼和压延加工业,3123973
240,广西盛隆冶金有限公司,广西壮族自治区,黑色金属冶炼和压延加工业,3114547
241,恒申控股集团有限公司,福建省,综合,3087620
242,浙江明日控股集团股份有限公司,浙江省,零售业,3075711
243,山东汇丰石化集团有限公司,山东省,石油加工、炼焦和核燃料加工业,3068943
244,红太阳集团有限公司,江苏省,化学原料和化学制品制造业,3068216
245,东岳集团,山东省,化学原料和化学制品制造业,3023815
246,山东九羊集团有限公司,山东省,黑色金属冶炼和压延加工业,3021936
247,文一投资控股集团,安徽省,房地产业,3011936
248,浙江新湖集团股份有限公司,浙江省,综合,3011917
249,香江集团有限公司,广东省,综合,3005700
250,包商银行股份有限公司,内蒙古自治区,货币金融服务,2997802
251,河北天山实业集团有限公司,河北省,商务服务业,2986765
252,帝海投资控股集团有限公司,北京市,房地产业,2985659
253,澳洋集团有限公司,江苏省,纺织业,2966041
254,五星控股集团有限公司,江苏省,批发业,2952998
255,江苏集群信息产业集团,江苏省,软件和信息技术服务业,2919627
256,浙江龙盛控股有限公司,浙江省,化学原料和化学制品制造业,2829564
257,天士力控股集团有限公司,天津市,医药制造业,2824886
258,中崇集团有限公司,上海市,综合,2804204
259,东辰控股集团有限公司,山东省,化学原料和化学制品制造业,2801251
260,万丰奥特控股集团有限公司,浙江省,汽车制造业,2800605
261,山东金茂纺织化工集团有限公司,山东省,有色金属冶炼和压延加工业,2786967
262,华东医药股份有限公司,浙江省,医药制造业,2783182
263,江苏大明金属制品有限公司,江苏省,金属制品业,2777190
264,香驰控股有限公司,山东省,农副食品加工业,2767244
